minimum	maximum	average	serialNumber
0.021402617931971735	15.007297878317688	20.454843750213694	90210
0.07759041910784825	15.60369363720946	20.402397820658702	90210
0.49545085910473496	15.383363010625617	20.122833240532096	90210
0.7758860656619196	15.657867119804651	20.45871494638227	90210
0.39358535703564723	15.876017448881669	20.677444216184867	90210
0.3766401839712975	15.840171824790023	20.289884833450106	90210
0.46262635719682876	15.66660796322477	20.518919046906085	90210
0.5537305684678973	15.032044962401207	20.935643480936967	90210
0.8386160987454329	15.803774808959908	20.999720427076277	90210
0.20753753769041394	15.761796828908507	20.906610619951195	90210
