minimum	maximum	average	serialNumber
0.741435091456437	15.13519667858267	20.39215796588429	90210
0.5857686685631073	15.083370967822418	20.650851139038764	90210
0.22377097608213714	15.026081741308815	20.62328923371947	90210
0.6284230726825571	15.700272563609145	20.27711213862022	90210
0.0062246329734426675	15.293013346881645	20.574943450276233	90210
0.7336061753936112	15.487161058982327	20.01195752255234	90210
0.5547081590051387	15.813107130039272	20.589856097704818	90210
0.3283657384825984	15.852616351459957	20.797242924465582	90210
0.3099667945324882	15.746894502773472	20.958356400693056	90210
0.898534284182002	15.608640919935505	20.531832785130476	90210
