minimum	maximum	average	serialNumber
0.027607915195502986	15.539774059092574	20.06643530018389	90210
0.1993847394662589	15.981339790179403	20.489567366278784	90210
0.5864725047361075	15.801426334211039	20.248121983761955	90210
0.4282592484960207	15.28923534559155	20.532616479917152	90210
0.5313348601438084	15.083185386315579	20.567157119404424	90210
0.9541870079691802	15.190465315471883	20.43968213362635	90210
0.2549012485534522	15.285601048634522	20.220654811260818	90210
0.9631307110561181	15.835377539588315	20.44503246850422	90210
0.1954159240282619	15.24098173316669	20.04912052333544	90210
0.9861140358905418	15.618879172105284	20.857368778550924	90210
