minimum	maximum	average	serialNumber
0.24425080180362957	15.676017814857843	20.648375427044268	90210
0.5548818493317761	15.33696106952799	20.916914721153613	90210
0.3723893653636081	15.547248999116176	20.5963610562784	90210
0.19885315410604132	15.9212302807783	20.945366815362352	90210
0.3898911637414627	15.95045775604488	20.1367578728427	90210
0.695431541079223	15.724302799733522	20.75840544880552	90210
0.26524755361634667	15.004111330175714	20.99386629506226	90210
0.047573517331121695	15.811272000581356	20.246385841655645	90210
0.9578503728061252	15.89099499522311	20.99718795914854	90210
0.4335989067206252	15.60196645282893	20.37113896316819	90210
